SET_NAME,YEAR,THEME,UNIQUE_PARTS,TOTAL_PARTS,UNIQUENESS
Piggy Guy,2014,Series 12 Minifigures,4,6,0.666667
X-wing Fighter,1999,Star Wars Episode 4/5/6,0,118,0.000000
Police Boat,1976,Boat,1,26,0.038462
Firefighter,2008,Fire,0,23,0.000000
Friends 4-Ever Jewels & More,2005,Clikits,6,30,0.200000
Robo Pod,2004,X-Pod,0,28,0.000000
Stunt Truck,2017,City,0,54,0.000000
Advent Calendar 2007 City (Day  3) Crate with Burning Cylinders,2007,City,0,5,0.000000
Treasure Chest,1995,Pirates I,1,117,0.008547
Blue Bus,2000,Soccer,0,58,0.000000
Sound element - 9v,1995,Technic,0,1,0.000000
Numbers and Mosaics Set,2008,Educational and Dacta,58,60,0.966667
Battle Droid Carrier,2001,Star Wars Episode 1,2,42,0.047619
Special Elements Pack,2009,Supplemental,0,17,0.000000
"Roof Bricks, 33 Degrees",1973,Supplemental,0,4,0.000000
LEGO Japan Dog Blue Label Version,2006,Other,0,11,0.000000
Train Accessories,2000,Train,0,7,0.000000
Family House,2009,Duplo,2,45,0.044444
Hailfire Droid,2003,Star Wars,1,87,0.011494
"Advent Calendar 2013, City (Day  4)",2013,City,0,8,0.000000
Fort Legoredo,2002,Cowboys,1,171,0.005848
Gray Space Elements,1981,Space,0,7,0.000000
Crossing the River,2016,Educational and Dacta,0,8,0.000000
Samurai Warrior - Complete Set,2011,Series 3 Minifigures,3,7,0.428571
Bi-Wing Baron,1998,Desert,0,43,0.000000
Escape from Privet Drive,2002,Chamber of Secrets,4,142,0.028169
Robin And Horse,2016,Nexo Knights,0,17,0.000000
Police Trike,2008,Police,0,20,0.000000
Stunt 'Copter N' Truck,1988,Traffic,0,100,0.000000
Vikings Chess Set,2006,Game,9,34,0.264706
Boat,1997,Harbor,0,18,0.000000
Excavator and Truck,2015,Construction,0,131,0.000000
Octopus,2010,Atlantis,0,18,0.000000
"Advent Calendar 2013, Friends (Day  5) - Stand #1",2013,Friends,0,12,0.000000
Mini VW Beetle,2017,Creator,1,53,0.018868
Scorpion,2016,Bionicle,0,10,0.000000
Elsa's Magical Ice Palace,2017,Disney Princess,7,236,0.029661
Stephanie's House,2017,Friends,5,278,0.017986
Duel on Naboo,2017,Star Wars Episode 1,1,80,0.012500
Disco Batman - Tears of Batman,2017,Batman,4,14,0.285714
Supergirl (DC Comics Playstation 4),2016,Dimensions,1,6,0.166667
Krennics Imperial Shuttle Microfighter,2017,Mini,0,46,0.000000
Mercedes-AMG GT3,2017,Speed Champions,3,79,0.037975
Iron Man,2017,Brickheadz,3,40,0.075000
The Hulk,2017,Brickheadz,2,35,0.057143
Beast,2017,Brickheadz,1,53,0.018868
Scuderia Ferrari SF16-H,2017,Speed Champions,3,112,0.026786
Battle Suit Aaron,2017,Nexo Knights,6,58,0.103448
Friends Party Set,2015,Friends,0,12,0.000000
Dragon's Forge,2017,Ninjago,0,379,0.000000
Scarif Stormtrooper,2017,Star Wars,6,53,0.113208
Captain Jack Sparrow,2017,Brickheadz,4,62,0.064516
Captain America Jet Pursuit,2017,Marvel,9,84,0.107143
Naida's Gondola & the Goblin Thief,2017,Elves,3,62,0.048387
My First Plane,2017,Duplo,1,8,0.125000
Luke's Landspeeder,2017,Star Wars Episode 4/5/6,1,70,0.014286
Monthly Mini Model Build May 2017 - Racecar,2017,Monthly Mini Model Build,0,29,0.000000
Retro Spaceman,2017,Series 17 Minifigures,0,7,0.000000
LEGO Ideas NASA Apollo Saturn V,2017,LEGO Ideas and CUUSOO,12,241,0.049793
Stormtrooper Key Chain (with Lego logo on back),2002,Key Chain,1,4,0.250000
Professional Surfer,2017,Series 17 Minifigures,0,6,0.000000
Roman Gladiator,2017,Series 17 Minifigures,0,6,0.000000
Space Shuttle Explorer,2017,Creator,0,131,0.000000
"LEGO Store Grand Opening Exclusive Set, Baybrook Mall, Houston, TX",2008,LEGO Brand Store,0,35,0.000000
Street 'n' Mud Racer,2002,Drome Racers,2,81,0.024691
Ocean Explorer,2017,Technic,0,181,0.000000
Police Helicopter,2017,Police,0,38,0.000000
Elf-Girl,2017,Series 17 Minifigures,0,7,0.000000
Republic Fighter Tank,2017,Star Wars Episode 3,5,119,0.042017
McDonald's Sports Set Number 6 - Orange Vest Snowboarder,2004,Gravity Games,2,4,0.500000
Emma's Splash Pool,2012,Friends,0,29,0.000000
Coca-Cola Defender 2,2002,Soccer,0,4,0.000000
Police Boat,2006,Police,0,121,0.000000
Ice Skating,2014,Creator,0,52,0.000000
Advent Calendar 1999 (Day  2) Snowman,1999,Advent Sub-Set,0,8,0.000000
The Batman Tumbler,2014,Batman,0,30,0.000000
Trendy Tote Tangerine,2003,Clikits,2,22,0.090909
Fun in the park - City People Pack,2016,City,8,143,0.055944
Tug,1973,Boat,0,23,0.000000
Sceneries Set,2010,Creator,0,221,0.000000
Aerial Intruder,1991,Blacktron II,0,91,0.000000
Train Motor Plate with Coupler,1977,Train,0,1,0.000000
Hamster Play Time - Friends Magazine - Polish Edition,2016,Books,0,15,0.000000
Hang-Glider,1998,Extreme Team,0,15,0.000000
Robo Raptor,1997,RoboForce,1,80,0.012500
Micro Manager Battle,2014,The LEGO Movie,0,24,0.000000
Slave I,2011,Star Wars Episode 4/5/6,0,43,0.000000
Circus Clown - Complete Set,2010,Series 1 Minifigures,4,6,0.666667
Turbo Prop I,1987,Airport,0,45,0.000000
Sky Copter,1978,Expert Builder,0,73,0.000000
Natalie Breez,2010,Heroes,1,11,0.090909
Blue Strata XXL,2004,Basic Set,0,271,0.000000
Doc Ock Truck Heist,2014,Spider-Man,2,120,0.016667
1 x 2 Bricks,1958,Supplemental,0,6,0.000000
Fire Helicopter,2000,Town,0,25,0.000000
12V Locomotive,1977,12V,0,29,0.000000
Duster,2001,Xalax,2,6,0.333333
Ferrari 150° Italia,2012,Ferrari,1,23,0.043478
The Ghost,2016,Mini,0,54,0.000000
Pneumatic Switch (Pack of 5),2002,Technic,0,1,0.000000
Challenger Set 200,1998,Classic Basic,0,60,0.000000
Advent Calendar 2010 City (Day 19) Toy Train Car Red,2010,City,0,9,0.000000
BULK Drill Machine,2014,Heroes,1,57,0.017544
Advent Calendar 2011 Star Wars (Day 19) - TIE Defender Pilot,2011,Star Wars,0,4,0.000000
Left and Right Manual Points with Electric Rails,1980,12V,0,7,0.000000
Remote Control for Electric Points,1985,Train,0,6,0.000000
Cross-Road Plates,1986,Supplemental,0,1,0.000000
Ski / Ice Slizer,1999,Throwbot Slizer,2,26,0.076923
Lufthansa Flight Crew,1976,Building Set with People,0,21,0.000000
Plastic Figure - Sir JAYKO (Nestle Promotional),2005,Knights Kingdom II,3,3,1.000000
Captain Rex’s AT-TE,2016,Star Wars Rebels,11,329,0.033435
Sabah Promotional Set: Plane,1997,Basic Model,0,9,0.000000
"Pneumatic Cylinder, 48 mm",1987,Technic,0,1,0.000000
Dutch National Player,1998,Soccer,1,4,0.250000
Assortment of Beams,1992,Technic,0,12,0.000000
Santa's Sleigh (Legoland California),2005,Holiday,0,27,0.000000
Vakama,2001,Turaga,0,31,0.000000
MTT,2012,Star Wars,0,26,0.000000
"Red Roof Bricks Parts Pack, 45 Degree",1980,Supplemental,0,12,0.000000
Space Mini Figures,1982,Space,0,11,0.000000
Bulk 3.0,2011,Heroes,2,16,0.125000
Burnard,2015,Series 4,0,37,0.000000
Advent Calendar 2008 City (Day  7) Fireman and Radio,2008,City,0,5,0.000000
Bunny and Chick,2012,Easter,1,33,0.030303
1280 mm Connecting Leads (Pack of 3),2002,Technic,0,1,0.000000
"6 x 8 Plates, White",1966,Supplemental,0,1,0.000000
LEGO® DIMENSIONS® NINJAGO™ Team Pack,2015,Dimensions,2,56,0.035714
"Pulleys, Tires, and Steering Wheels",1987,Technic,0,3,0.000000
Road and Rail Maintenance,1991,9V,0,49,0.000000
Skrall,2009,Glatorian,2,26,0.076923
Hagrid's Hut,2001,Sorcerer's Stone,2,113,0.017699
Bridge Walker vs. White Lightning,2006,Exo-Force,1,152,0.006579
Garmadon's Dark Fortress,2011,Ninjago,1,181,0.005525
Motor Movers,2003,Inventor,3,100,0.030000
Cement Mixer,2013,Construction,1,105,0.009524
Classic Minifigure Graduation Set,2014,Gear,1,21,0.047619
Vader's TIE Advanced - UCS,2006,Star Wars Episode 4/5/6,3,154,0.019481
Space Miner,2014,Series 12 Minifigures,5,9,0.555556
Advent Calendar 2010 City (Day 17) Shower Stall,2010,City,0,13,0.000000
Lego Basic Figures - 24 elements,1985,Universal Building Set,0,2,0.000000
Advent Calendar 2007 City (Day  8) Luggage Cart,2007,City,0,7,0.000000
Coruscant Police Gunship,2014,Star Wars,5,160,0.031250
Aero Hawk II,1994,Airport,0,58,0.000000
Medium Ship Set,1973,Technic,0,4,0.000000
Takutanuva,2003,Titans,1,1,1.000000
Sopwith Camel,2001,Sculptures,1,196,0.005102
Pneumatic Crane,1980,Construction,0,38,0.000000
Apple,2007,Creator,0,7,0.000000
Grem,2011,Cars,0,34,0.000000
Twin-pod Cloud Car & Bespin,2012,Planet Series 2,4,35,0.114286
Pirate Treasure Hunt,2015,Juniors,3,42,0.071429
MUJI Circus Set,2010,Other,0,22,0.000000
Chef,2003,Food & Drink,0,6,0.000000
Enzo Ferrari 1:17,2005,Ferrari,2,144,0.013889
Basic Building Set Trial Size,1989,Basic,0,37,0.000000
"Advent Calendar 2012, Friends (Day 16) - Basket with Broom and Snow Balls",2012,Friends,0,4,0.000000
Space Cruiser,1979,Classic Space,0,156,0.000000
"Advent Calendar 2012, Friends (Day 21) - Fireplace",2012,Friends,0,16,0.000000
Armada Flagship,1996,Imperial Armada,0,154,0.000000
Speed Patroller,2000,Town,0,24,0.000000
Small House - Right Set,1955,Town Plan,0,11,0.000000
Angle Pieces,1997,Technic,0,5,0.000000
Legoland California 10th Birthday Cupcake Box (LLCA Ambassador Pass Exclusive),2009,Legoland Parks,0,26,0.000000
Ogel Control Center,2001,Alpha Team,2,140,0.014286
Motor Bushes,1977,Train,0,1,0.000000
Storage Box - White,1972,Supplemental,0,1,0.000000
Tahnok,2002,Bohrok,0,20,0.000000
50 numbered bricks (The Building Toy),1966,Supplemental,0,10,0.000000
Advent Calendar 1999,1999,Advent,0,97,0.000000
Black Cruiser,2003,Orient Expedition,0,22,0.000000
Micro White House,2015,Promotional,0,15,0.000000
Hewkii (Kabaya Promotional),2003,Matoran of Mata Nui,0,20,0.000000
Blizzard Baron,1993,Ice Planet 2002,0,54,0.000000
Stringer,2012,Heroes,2,29,0.068966
Prison Island Starter Set,2016,Police,0,70,0.000000
6 International Flags -2-,1963,Supplemental,0,6,0.000000
Universal Building Set,1978,Basic Set,1,29,0.034483
Build-A-Bob,2006,SpongeBob SquarePants,2,125,0.016000
Transport Plane,2014,Creator,0,31,0.000000
Basic Building Set in Bucket,1989,Basic,0,235,0.000000
Ferrari Formula 1 Racing Car,1997,Model Team,2,181,0.011050
Jedi Duel,2002,Star Wars Episode 2,4,59,0.067797
Lewa Nuva,2002,Toa Nuva,1,23,0.043478
Visorak Keelerak,2005,Visorak,0,29,0.000000
Forklift,2005,Construction,0,132,0.000000
TECHNIC Chainlinks,1987,Technic,0,2,0.000000
Small Freestyle Bucket,1995,Freestyle,0,92,0.000000
Green Racer,2003,Drome Racers,0,15,0.000000
FX Star Patroller,1985,Classic Space,0,104,0.000000
2 x 4 Plates - Yellow (architectural hobby und modelbau version),1962,Architecture,0,3,0.000000
Advent Calendar 2007 City (Day 11) Small Dock with Life Preserver,2007,City,0,9,0.000000
Front-End Loader Black Box,2004,Construction,0,62,0.000000
Red Bus,2000,Soccer,0,58,0.000000
LEGO® Friends Tumbler 2014,2014,Gear,0,11,0.000000
Spooky Boy,2016,Series 16 Minifigures,3,7,0.428571
Guard,2001,Life On Mars,0,4,0.000000
Midnight Transport,1993,Airport,0,130,0.000000
Mace Windu's Jedi Starfighter,2011,Star Wars Clone Wars,3,154,0.019481
Road Roller,2009,Construction,0,18,0.000000
Pretty in Pink Jewels-n-More,2005,Clikits,2,22,0.090909
4 x 8 Curved & 2 x 8 Plates,1956,Supplemental,0,3,0.000000
"Lego Motion 1A, Gyro Bird",1989,Basic Model,0,14,0.000000
Mystery Mansion,2015,Scooby-Doo,11,295,0.037288
Marc Monkey and Wheelbarrow,1980,Fabuland,2,4,0.500000
Fire Truck,1976,Fire,0,28,0.000000
Swampfire,2010,Ben 10,5,10,0.500000
Aero Pod (Toy Fair Nuernberg Promotion),2004,X-Pod,0,27,0.000000
Thunder Wings,2013,Creator,0,107,0.000000
Road Crane,1979,Construction,0,36,0.000000
Hospital,1978,Homemaker,0,85,0.000000
Small Bucket,1991,Basic,0,110,0.000000
Reindeer,2002,Christmas,0,16,0.000000
Advent Calendar 2010 Kingdoms (Day 24) - Blue Wizard with Wand,2010,Castle,2,7,0.285714
Dune Buggy,1981,Expert Builder,0,57,0.000000
Classic Picture Frame,2013,Gear,0,29,0.000000
Animal - Beaver,2017,Pick A Model,0,22,0.000000
Adrift Sport,2008,Tiny Turbos,0,25,0.000000
XT4,2012,Villains,1,22,0.045455
Jake's Treasure Hunt,2013,Duplo,0,20,0.000000
Rescue Helicopter,2011,Airport,0,107,0.000000
Dacta Space Theme Set,1990,Space,0,132,0.000000
Scorpion Palace,2003,Orient Expedition,32,185,0.172973
Vahki Keerakh,2004,Vahki,0,19,0.000000
Galactic Mediator,1992,Space Police II,0,139,0.000000
Special Elements For Mechanical Engineering Set,2004,Service Packs,0,38,0.000000
Outback Racer,1997,Outback,1,33,0.030303
Lunar Rocket Launcher,1984,Classic Space,0,47,0.000000
Connector peg,1987,Technic,0,1,0.000000
"Wheels, Bearings and Suspension",1995,Service Packs,0,9,0.000000
Stormer 3.0,2011,Heroes,2,18,0.111111
Police – The Big Escape,2014,Juniors,4,93,0.043011
Mango - Suntory Promotional,2005,Food & Drink,0,6,0.000000
Brickster's Trike,2002,Island Xtreme Stunts,1,17,0.058824
High-Speed City Express Passenger Train,1985,12V,4,137,0.029197
Iron Man,2012,Constraction,2,27,0.074074
Advent Calendar 2014 Star Wars (Day 11) - TIE Fighter Pilot,2014,Star Wars,0,4,0.000000
CLS-89 Eradicator Mech,2013,Galaxy Squad,1,177,0.005650
6 bricks with 16 and 20 studs and 3 Angle Bricks White/Red,1969,Supplemental,0,6,0.000000
Airport,1984,Airport,3,34,0.088235
Jeep CJ-5,1977,Factory,0,25,0.000000
Advent Calendar 2011 Star Wars,2011,Star Wars,1,1,1.000000
Pony Jumping,2008,Recreation,2,25,0.080000
TC-14,2012,Minifig Pack,1,3,0.333333
Advent Calendar 2014 City (Day 5) Girl with Croissant,2014,City,0,5,0.000000
Mobile Ground Tracking Station,1979,Classic Space,0,88,0.000000
1 x 2 Bricks,1955,Supplemental,0,4,0.000000
Sopwith Camel,2012,Sculptures,1,194,0.005155
Flexible Train Track,2009,RC Train,0,1,0.000000
Stellar Recon Voyager,1990,M:Tron,1,107,0.009346
Basic Bulk Tub (American Version),1998,Supplemental,0,54,0.000000
Arctic,2016,Duplo,4,21,0.190476
Police Headquarters,2008,Police,0,285,0.000000
"Hinges, Couplings and Tilting Bearings",1991,Service Packs,0,17,0.000000
Assembly Square,2017,Modular Buildings,4,769,0.005202
2 x 4 Brown Ridge Roof Tiles Steep Sloped,2003,Bulk Bricks,0,1,0.000000
Neptune Carrier,2010,Atlantis,0,170,0.000000
Ultimate Build Mater,2011,Cars,3,113,0.026549
Sunset Cruiser,2006,Radio Control,2,17,0.117647
Imperial Shuttle - Mini,2010,Star Wars Episode 4/5/6,0,37,0.000000
Panda,2011,Basic Model,0,35,0.000000
Basic Set with Storage Case,1985,Basic,0,96,0.000000
Small Pre-School Basic Set,1973,Minitalia,0,13,0.000000
Forklift Transporter,1993,Construction,0,148,0.000000
Space Port Moon Buggy,1999,Space Port,0,19,0.000000
Monthly Mini Model Build June 2014 - Jet-Ski,2014,Monthly Mini Model Build,0,20,0.000000
6 Street Lamps with Curved Top (The Building Toy),1966,Supplemental,0,1,0.000000
Monorail Stop / Reverse Switch,1987,Service Packs,0,3,0.000000
Snow White's Cottage,2012,Duplo,2,21,0.095238
"Sloping Ridge and Valley Bricks, Blue",1957,Supplemental,0,5,0.000000
Jet-Car,1998,Znap,0,8,0.000000
Road Construction Set,1976,Construction,0,45,0.000000
Mini Dumper,1989,Construction,0,18,0.000000
Clone Scout Walker,2005,Star Wars Episode 3,3,59,0.050847
Scientist - Complete Set,2013,Series 11 Minifigures,5,7,0.714286
Knight Racer,2016,Nexo Knights,0,15,0.000000
Lifeguard,2014,Series 12 Minifigures,3,7,0.428571
Basic Building Set in Cardboard,1965,Basic Set,1,22,0.045455
Alien Moon Stalker,1986,Classic Space,0,85,0.000000
Glory Glider,1990,Airport,0,20,0.000000
Television Room,1978,Homemaker,0,39,0.000000
Passage of Jun-Chi,2003,Orient Expedition,4,52,0.076923
Basic Bricks,1996,Supplemental,0,40,0.000000
Batman: The Riddler Chase,2014,Batman,6,148,0.040541
Classic Trial Box,2000,Classic Basic,0,20,0.000000
Advent Calendar 2011 Star Wars (Day 10) - Imperial Shuttle,2011,Star Wars,0,7,0.000000
Basic Building Set with Storage Case,1987,Basic,1,50,0.020000
Change-Over Unit,1989,Train,0,1,0.000000
Star Wars Magnet Set,2008,Gear,0,18,0.000000
Galaxy Patrol - Complete Set,2012,Series 7 Minifigures,4,7,0.571429
Bumblebee Helicopter,2017,Super Heroes,9,84,0.107143
"Advent Calendar 2001, Creator (Day  7) Tina",2001,Advent Sub-Set,0,1,0.000000
Explorien Starship,1996,Exploriens,0,180,0.000000
Soft Brick Activity Set,2000,Soft Bricks,0,5,0.000000
Sea Plane,1977,Airport,0,43,0.000000
Pahrak Va,2002,Bohrok Va,0,19,0.000000
Lego Toy Fair 2005 Star Wars V.I.P. Gala Set,2005,Star Wars Episode 3,0,28,0.000000
TIE Interceptor - Mini (Polybag),2005,Star Wars Episode 4/5/6,0,13,0.000000
Backhoe,1984,Construction,0,44,0.000000
Community Workers,1996,Town,1,57,0.017544
Red Planet Protector,2001,Life On Mars,1,80,0.012500
Electric Battery Box 9V 150 mAh (Rechargeable),2010,Supplemental,0,1,0.000000
Crane and Digger Accessories,1995,Service Packs,0,13,0.000000
Control Lab Building Set,1995,Technic,9,139,0.064748
Mantax,2007,Barraki,0,29,0.000000
Rip,2001,Xalax,2,6,0.333333
"Bricks, Red",1987,Service Packs,0,11,0.000000
Knight's Tournament,1981,Classic Castle,2,76,0.026316
Fire Dragon's Lava Cave,2016,Elves,3,209,0.014354
"Connector Leads, 75cm and 25cm",1987,Train,1,3,0.333333
"QUEEN Beast vs. FURNO, EVO & STORMER",2014,Hero Factory,1,80,0.012500
MUJI Christmas Set,2011,Other,0,14,0.000000
"Danju (USA version with 6 Cards, Target Promo)",2004,Knights Kingdom II,3,25,0.120000
Burj Khalifa,2016,Architecture,1,56,0.017857
Cross Axles & Extensions,1993,Technic,0,8,0.000000
Jala [McDonald's Promo Set #4],2001,Tohunga,0,7,0.000000
Salvage M.E.C.,2016,Ninjago,1,189,0.005291
Basic Building Set + Storage Case,1984,Basic Set,0,24,0.000000
The Battle for Helms Deep,2013,Game,12,88,0.136364
Attack Wagon,2010,Kingdoms,0,25,0.000000
Extra Bricks White,1986,Supplemental,0,11,0.000000
Heartlake Cupcake Cafe,2016,Friends,0,227,0.000000
2 x 8 Red Bricks,2000,Bulk Bricks,0,1,0.000000
Glider,1999,Ninja,0,13,0.000000
Raft Raiders,1992,Pirates I,1,51,0.019608
Black Bus with Ball (Mannschaftsbus + Ball),2002,Soccer,0,1,0.000000
Emergency Rescue Box,2006,Basic Set,0,79,0.000000
Celebrating Moments That CLICK Light Bulb,2009,Other,0,15,0.000000
Small Chain Links,1998,Technic,0,2,0.000000
Family House,2015,Juniors,5,140,0.035714
Yellow Band (Pack of 25),2002,Service Packs,0,1,0.000000
"Advent Calendar 2013, Star Wars (Day 18) - Scout Trooper",2013,Star Wars,0,4,0.000000
Lighting Bricks,1992,Supplemental,0,26,0.000000
Skater Girl - Complete Set,2012,Series 6 Minifigures,5,7,0.714286
Deluxe Brick Box,2010,Basic Set,0,197,0.000000
Dragon Wagon,1993,Castle,0,73,0.000000
10-Stud Axles (Pack of 50),2002,Technic,0,1,0.000000
Volectro,2014,Series 1,0,28,0.000000
André Schürrle (9),2016,DFB Minifigures,2,6,0.333333
Polarity Switch,1993,Technic,0,2,0.000000
Tow Truck,1984,Duplo,0,2,0.000000
Jedi Defender-class Cruiser,2013,Star Wars Other,10,226,0.044248
SP Undercover Cruiser,2010,Space Police III,0,126,0.000000
Boulder Bowling,2013,Speedorz,6,50,0.120000
Plant Monster,2015,Series 14 Minifigures,4,6,0.666667
RC-Nitro Flash,2002,Radio Control,6,68,0.088235
Tall Classic Windows/Door (with Glass),1954,Supplemental,0,22,0.000000
Life Guard - Quick Magic Box Promotional,2007,Coast Guard,0,34,0.000000
Rapunzel's Market Visit,2014,Disney Princess,0,30,0.000000
Master Wu Dragon,2015,Ninjago,1,272,0.003676
Deluxe Box of Fun,2014,Duplo,1,53,0.018868
Advent Calendar 2010 Kingdoms (Day  1) - Blacksmith with Hammer,2010,Castle,0,6,0.000000
Ariel's Magical Boat Ride,2012,Duplo,0,23,0.000000
Rapid Rider,1999,Rock Raiders,0,27,0.000000
Nya foil pack,2016,Ninjago,0,11,0.000000
Shredder's Dragon Bike,2013,Teenage Mutant Ninja Turtles,4,115,0.034783
Red Thunder,2014,Creator,0,47,0.000000
XXL 1800,2007,Basic Set,0,127,0.000000
Ring of Fire,2008,Power Racers,2,86,0.023256
Tanker Truck,2003,Gas Station,6,18,0.333333
The Trevi Fountain,2014,Architecture,1,85,0.011765
Circus Clown Polybag,2013,Duplo,0,3,0.000000
Extra Bricks in Red,1996,Supplemental,0,12,0.000000
Air Boat,2001,Studios,0,26,0.000000
Sheriff,2015,Series 13 Minifigures,5,8,0.625000
RIS 2.0 Basics Kit,2004,RCX,0,1,0.000000
Santa Claus,2002,Christmas,0,19,0.000000
Tiketz,2016,Series 7,1,36,0.027778
"Advent Calendar 2013, Friends (Day 12) - Presents",2013,Friends,0,7,0.000000
Passenger Plane - SWISS Version,2005,Airport,1,90,0.011111
Buccaneers,1997,Pirates I,0,33,0.000000
Aero Pod,2006,Creator,0,40,0.000000
Quidditch Match,2010,Harry Potter,5,75,0.066667
Freeze Ray Frenzy,2009,Space Police III,0,57,0.000000
Storage Cloth,1980,Supplemental,0,1,0.000000
H.O.T. Blaster Bike,2003,Drome Racers,0,40,0.000000
Transparent Windows and Bricks,1993,Service Packs,0,6,0.000000
LEGO Stores Easter Chick in egg for 2004,2004,Easter,0,8,0.000000
35th Anniversary Bucket,1998,Basic Set,0,54,0.000000
Adventurers Raft,1999,Desert,0,16,0.000000
Batmobile,2012,Batman,0,23,0.000000
Metroliner,1991,9V,2,189,0.010582
Advent Calendar 2011 Star Wars (Day 12) - Rebel Snowspeeder,2011,Star Wars,0,15,0.000000
"Slopes and Slopes Double 2 x 2, Red (The Building Toy)",1966,Supplemental,0,2,0.000000
Ambush Attack,2012,Dino,1,53,0.018868
Tiles,1965,Supplemental,0,18,0.000000
Manual Points,1991,9V,1,5,0.200000
Town Square,2013,Traffic,0,410,0.000000
Whitecap Bay,2011,Pirates of the Caribbean,10,208,0.048077
Cargo Carrier,1987,Boat,0,111,0.000000
Small Bakery,1986,Fabuland,2,15,0.133333
Riding School,2004,Recreation,7,80,0.087500
Red Bullet,2002,Drome Racers,2,21,0.095238
Conductor Charlie,2003,World City,0,7,0.000000
Sky Patrol,1992,Police,0,51,0.000000
Street Crew,1979,Construction,0,31,0.000000
Fortune Teller - Complete Set,2013,Series 9 Minifigures,6,7,0.857143
Cowboy - Complete Set,2010,Series 1 Minifigures,2,7,0.285714
"1 x 4 x 5 Black Window Frames, Transparent Blue Panes",2001,Bulk Bricks,0,2,0.000000
Bricktober Train Station,2015,Bricktober,0,58,0.000000
Light Sensor 9V,1999,RCX,0,1,0.000000
AT-AP,2014,Star Wars,2,236,0.008475
"Santa Fe Super Chief, NOT the Limited Edition",2002,9V,0,122,0.000000
Hero Factory Villain Promo,2014,Villains,0,14,0.000000
Cursed Cobra Statue,2011,Pharaoh's Quest,2,96,0.020833
Fence,1989,Service Packs,0,1,0.000000
Thornatus V9,2009,Battle Vehicles,1,101,0.009901
High Speed Train Car,2004,World City,0,50,0.000000
Service Truck,1982,Traffic,0,18,0.000000
Grandma - Complete Set,2013,Series 11 Minifigures,2,7,0.285714
Little Garden Fairy,2003,Fairy-Tale,2,33,0.060606
Axle Extenders (Pack of 50)  {Axle Joiners},2002,Technic,0,1,0.000000
Advent Calendar 2009 Pirates (Day  4) - Imperial Soldier II Officer,2009,Pirates,0,7,0.000000
Baranus V7,2009,Battle Vehicles,0,81,0.000000
Large Wheels with Axles (System),1964,Supplemental,0,4,0.000000
Flamenco Dancer - Complete Set,2012,Series 6 Minifigures,3,6,0.500000
Hot Buster,2004,Power Racers,7,34,0.205882
Lamborghini Gallardo LP 560-4,2009,Lamborghini,1,163,0.006135
"Plates, Gear Racks, etc.",1987,Technic,0,7,0.000000
Cross Road Plates,2002,Supplemental,1,1,1.000000
Revvin' Riders,2006,Riding Cycle,1,133,0.007519
Republic Attack Cruiser - Mini,2011,Star Wars Episode 3,0,25,0.000000
36 Little People + Accessories,1982,Town,0,37,0.000000
Auto & Tire Repair,1984,Traffic,0,33,0.000000
Advent Calendar 2011 Star Wars (Day 24) - Santa Yoda,2011,Star Wars,1,7,0.142857
Pencil Holder,2015,Other,0,80,0.000000
Dragon Dueller,2011,Power Racers,0,44,0.000000
Nebula Outpost,1996,Exploriens,3,75,0.040000
Pierre Pig and His Tuba,1984,Fabuland,1,4,0.250000
Small House - Right Set,1958,Town Plan,0,8,0.000000
Small Soccer Set 3 (Kabaya Box),2002,Soccer,0,10,0.000000
Crazy Action Contraptions (Klutz) Vol. 2,2008,Technic,0,33,0.000000
Avak,2006,Piraka,3,25,0.120000
Dragon Fly,1997,Airport,0,104,0.000000
"Advent Calendar 2012, Star Wars (Day 6) - Battle Droid Security",2012,Star Wars,0,7,0.000000
Number Bricks,1969,Supplemental,12,14,0.857143
WeDo 2.0 Smarthub Rechargeable Battery,2016,WeDo,0,1,0.000000
Batman Bat-Signal,2014,Batman,0,11,0.000000
Cameraman,2001,Studios,0,22,0.000000
London Bus,1973,Factory,0,28,0.000000
Monthly Mini Build October 2016 - Werewolf,2016,Monthly Mini Model Build,0,37,0.000000
Plates 2 x 8,1989,Service Packs,0,1,0.000000
Technic Beams with Snaps,2008,Technic,0,2,0.000000
T3-Trike,2001,Life On Mars,0,55,0.000000
Buckingham Palace,2016,Architecture,1,119,0.008403
Magnetic Train Couplers,1977,Train,0,2,0.000000
AC Adapter 230V - 10V Transformer Type G Plug (British),2006,NXT,1,1,1.000000
LEGO Town Plan Wooden Board,1957,Town Plan,0,3,0.000000
Go-Kart,1999,Race,0,30,0.000000
Town Accessories,1993,Town,0,28,0.000000
Holiday Set 2 of 2,2011,Christmas,0,52,0.000000
Buzz's Mini Ship,2010,Toy Story,0,16,0.000000
Land Scooper,2000,Town,0,19,0.000000
Biplane,1974,Airport,0,10,0.000000
Mini Antennas and Stick,1989,Service Packs,0,12,0.000000
Witch's Magic Manor,1997,Fright Knights,0,126,0.000000
Blue Suitcase,2013,Basic Set,1,79,0.012658
Rover Discovery,1998,Off-Road,0,14,0.000000
"Advent Calendar 2014, Friends (Day 16) - Cake and Cups",2014,Friends,0,7,0.000000
8 Plates 2 x 8 (The Building Toy),1966,Supplemental,0,1,0.000000
Lego Dacta Castle Set,1997,Castle,0,116,0.000000
Penguin's Playground,2014,Animals,0,34,0.000000
